text,label
<p>Not a single commenter here is an active servicemember: Shout out to all the chicken hawks in the house!</p>,0
"<p>Consumers lost confidence in Target because of the rollback of their Diversity, Equity and Inclusion policies. The can whitewash it all they want.</p>",0
"<p>הנאשם סלח שכח ושילם . במשך עשרות שנים הנאשם בשוחד הבטיח להשמיד את הטרור אך חיזק את הטרור במאות משאיות ליום לטרור, שיחרור אלפי רוצחים ,מזוודות מזומן, קיצבאות לעידוד טרור דרך הרשות הפלסטינית והביטוח הלאומי.</p>",0
What a nut job.  If she gets elected in the general election stay way from Arizona for 4 (or 8 years).,0
"<p>Donald Trump would rather you worry about his deal-making ability as regards Putin,</p><p></p><p>Than have to worry that we are sliding toward WW III without a public debate because the Left is still mad at Putin for preventing Hillary from shattering the &#34;glass ceiling.&#34;</p>",0
<p>Criminals and gangsters are scums of humanity. They don&#39;t have any human rights once they committed a crime. </p>,0
<p>Maybe if you did not reimagine history you would not have written your comment. Israel must no longer tolerate having murderous neighbors living in the Gaza Strip. Trump is right. They must leave now.</p>,0
"<p>Throwing money at a problem is not a solution. Unfortunately, our democrat majority has never understood that. And now they are saying strategy is important also, Thats funny because I didn&#39;t hear that several years ago when they were blowing the surplus.</p>",0
<p>black people have killed more people just in the past years then all slavery and every mass killing in the us history combined. Go back to school </p>,0
"<p>OK I&#39;m in....</p><p></p><p>.... WHERE is the information  located and please be very specific,.</p>",0
